Date,Article Title,Operative,City/Town,State/Provence,Country,Reference,NumberPeopleAffected,OutageDurationMinutes
7/9/2018,"Bird causes power outage affecting nearly 2,100 East Topeka homes, businesses",Bird,Topeka,KS,United States,http://www.cjonline.com/news/20180709/bird-causes-power-outage-affecting-nearly-2100-east-topeka-homes-businesses,2100,
7/8/2018,Power restored in Wellsburg after squirrel causes outage,Squirrel,Wellsburg,WV,United States,https://wtov9.com/news/local/power-restored-in-wellsburg-after-squirrel-causes-outage,,
7/6/2018,Rogue raccoon blacks out city power grid after shocking misstep,Raccoon,Seattle,WA,United States,https://www.theregister.co.uk/2018/07/06/raccoon_blacks_out_seattle_power_grid/,6000,
7/5/2018,There was a power outage on Plumtree Place.  The cause was animal contact with a transformer.  Approximately 15 customers were affected.  Power restored at 8 am,Animal,North Bay,ON,Canada,https://twitter.com/NBHydro/status/1014841194638200832,15,
7/4/2018,Burning bird falls from railway power line then torches field in Germany,Bird,,,Germany,http://newsinfo.inquirer.net/1007197/burning-bird-falls-from-railway-power-line-then-torches-field-in-germany,5000,
7/4/2018,Squirrel blamed for 700-customer power outage in Kitchener,Squirrel,Kitchener,,Canada,https://www.cbc.ca/news/canada/kitchener-waterloo/squirrel-blamed-for-700-customer-power-outage-in-kitchener-1.4733005,700,
7/4/2018,Squirrel causes power outage in central Columbia,Squirrel,Columbia,MO,United States,http://www.abc17news.com/news/power-outage-affecting-residents-traffic-lights-in-central-columbia/762967926,75,
7/2/2018,"Squirrel knocks out power to over 2,300 County resident",Squirrel,"PRESQUE ISLE,",MI,United States,http://www.wagmtv.com/content/news/Squirrel-knocks-out-power-to-over-2300-County-residents-487140621.html,2300,
7/1/2018,PG&E: Bird strike responsible for widespread power outage in Petaluma,Bird,Petaluma,CA,United States,http://www.pressdemocrat.com/news/8491633-181/widespread-power-outage-affects-nearly,17000,
7/1/2018,PGE says squirrel to blame for power outage in NW Portland,Squirrel,Portland,OR,United States,http://www.kptv.com/story/38551955/pge-says-squirrel-to-blame-for-power-outage-in-nw-portland,2000,180
6/28/2018,"Unlucky squirrel caused power outage, MUHC network failure",Squirrel,Montreal,ON,Canada,http://montrealgazette.com/news/unlucky-squirrel-caused-power-outage-muhc-network-failure,,
6/28/2018,"Tiny squirrel causes massive outage that leaves nearly 8,000 homes without power",Squirrel,Armagh,,Ireland,https://inews.co.uk/news/northern-ireland/tiny-squirrel-leaves-8000-homes-without-power/,8000,
6/28/2018,Snake causes Wednesday night power outage in Ellis Count,Snake,Hays,KS,United States,http://www.hdnews.net/news/20180628/snake-causes-wednesday-night-power-outage-in-ellis-county,4600,50
6/27/2018,Damage caused by squirrel this morning resulting in unscheduled momentary outage affecting North St. Marblehead St. Central St. area North Reading.,Squirrel,Reading,MA,United States,https://twitter.com/readinglight/status/1011983753185505281,,
6/26/2018,Bird causes power outage in Stratford on Tuesday,Bird,Stratford,CT,United States,https://www.stratfordstar.com/82387/bird-causes-power-outage-in-stratford-on-tuesday/,2000,
6/26/2018,Bird blamed for knocking out power to more than 100 in Pike Township,Bird,Pike Township,PA,United States,http://www.readingeagle.com/news/article/bird-blamed-for-knocking-out-power-to-more-than-100-in-pike-township,100,
6/26/2018,Oh rats! Two recent outages linked to rodents,Rats,Honolulu,HI,United States,https://medium.com/@PoweringHawaii/oh-rats-two-recent-outages-linked-to-rodents-fb852b4a45fb,,
6/25/2018,Area outage in Wilmington Squirrel got into the transformer,Squirrel,Reading,MA,United States,https://twitter.com/readinglight/status/1011247915074048001,,10
6/25/2018,SQUIRREL CAUSES SUNDAY POWER OUTAGE,Squirrel,Hibbing,MH,United States,http://www.hibbingmn.com/news/local/squirrel-causes-sunday-power-outage/article_db33d39e-78b7-11e8-8c0b-17fc17147484.html,,
6/24/2018,We're hoping to have power restored by 1:30; an animal has damaged some of our equipment. This was the case on the 6/3/18 outage as well.,Animal,Boston,MA,United States,https://twitter.com/EversourceMA/status/1010884750591037440,,180
6/23/2018,Power has been restored in the North Hwy/Thibeault Terrace area.  The cause was likely animal contact. Power was restored at 8:30 am..,Animal,,BC,Canada,https://twitter.com/NBHydro/status/1010500797438808064,,
6/23/2018,The outage was caused by a squirrel making contact with electrical equipment,Squirrel,Huntsville,AL,United States,https://twitter.com/HSVUtilities/status/1010508314814410753,,
6/23/2018,Squirrel causes power outage in Sturgeon Bay,Squirrel,Sturgeon Bay,WI,United States,http://www.doorcountydailynews.com/2018/06/23/79087/,1000,
6/23/2018,Napier homes lose power after bird hits overhead lines,Bird,Napier,,New Zealand,https://www.nzherald.co.nz/hawkes-bay-today/news/article.cfm?c_id=1503462&objectid=12077029,900,45
6/21/2018,All power in #Kissimmee was restored at 1:40 p.m. Outage cause: squirrel. The squirrel did not survive,Squirrel,Kissimmee,FL,United States,https://twitter.com/KUAdirect/status/1009856339785474049,,60
6/21/2018,The outage has been restored. Another squirrel having a very bad day.,Squirrel,Linden,IN,United States,https://twitter.com/tipmontremc/status/1009780163834413057,,
6/21/2018,Both were caused by squirrel contacts on Old Hanlon Rd,Squirrel,Guelph,ON,Canada,https://twitter.com/GuelphHydro/status/1009904996102627328,,
6/20/2018,We are experiencing a small #outage in #sono caused by a squirrel,Squirrel,Norwalk,OH,United States,https://twitter.com/SNEWCT/status/1009476878426628098,,
6/20/2018,"Crews will be heading to an outage affecting 11,000 customers in the",Animal,Canoe,BC,United States,https://twitter.com/bchydro/status/1008941961561149440,11000,
6/20/2018,Animal causes massive power outage in Genesee County,Animal,Linden,MI,United States,http://www.wnem.com/story/38467875/breaking-nearly-10000-customers-without-power-near-genesee-county,10000,180
6/20/2018,Snake causes thousands in South Carolina to lose power,Snake,North Myrtle Beach,SC,United States,http://wpde.com/news/local/over-4000-without-power-in-barefoot-landing-area,4800,60
